优先级,类别,软件,用途,账号或安装
P0,通讯协作,飞书,聊天、会议、文档、日程,企业邮箱登录，入职邮件有邀请链接
P0,文档,飞书文档/知识库,阅读和撰写文档,同上
P0,代码,Git + 公司代码平台客户端,拉代码、提交,企业邮箱开通，见 code.example.com
P0,浏览器,Chrome（公司版）,内部系统兼容,默认安装
P0,安全,VPN 客户端,远程访问内部系统,IT 工单开通后下发配置
P1,IDE,VS Code + 团队统一插件集,写代码,插件清单见团队 wiki
P1,终端,iTerm2 / 系统终端,命令行,默认安装
P1,包管理,Homebrew、Node.js ≥ 20、pnpm,前端环境,默认安装
P1,设计稿,Figma 桌面版,看设计稿和标注,企业邮箱登录
P1,协同,飞书妙记（会议纪要）、任务中心,会议与待办,同上
P2,数据库工具,TablePlus / DataGrip,连数据库,按需
P2,接口调试,Postman / Apifox,调接口,按需
P2,容器,Docker Desktop,本地起服务,按需
P2,监控,公司监控平台客户端（可选）,看线上指标,按需
