题库ID,题库名称,题号,难度,题干,选项A,选项B,选项C,选项D,正确答案,答案内容,解析
bytedance-onboarding,字节跳动入职指南,1,入门,字节跳动的使命是什么？,让天下没有难做的生意,激发创造，丰富生活,科技普惠，连接世界,成为最受尊敬的互联网企业,B,激发创造，丰富生活,官网口径：公司使命为「激发创造，丰富生活」，是理解业务和判断工作价值的基本背景；面对任务可问：服务谁、解决什么真实问题、效果如何被感知。
bytedance-onboarding,字节跳动入职指南,2,入门,官网当前列出的「字节范」共有几项？,四项,五项,六项,八项,C,六项,官网现行版字节范共六项：共同成长、始终创业、多元兼容、坦诚清晰、求真务实、敢为极致。
bytedance-onboarding,字节跳动入职指南,3,入门,「不怕暴露问题，准确、简洁、直接」对应哪项字节范？,求真务实,敢为极致,坦诚清晰,始终创业,C,坦诚清晰,坦诚清晰：表达真实想法、不怕暴露问题、反对“向上管理”，准确简洁直接、少用抽象模糊空泛的词，就事论事、理性沟通。
bytedance-onboarding,字节跳动入职指南,4,入门,「直接体验，深入事实，拿一手数据」对应哪项字节范？,敢为极致,坦诚清晰,多元兼容,求真务实,D,求真务实,求真务实：独立思考、刨根问底，直接体验、深入事实、拿一手数据或信息，不自嗨、注重实际效果；不只听转述，主动看产品、数据、代码和用户反馈。
bytedance-onboarding,字节跳动入职指南,5,进阶,「注重整体 ROI，在更大范围寻找最优解」对应哪项字节范？,敢为极致,共同成长,始终创业,多元兼容,A,敢为极致,敢为极致：敢于为了更好的结果明智地冒险、注重整体 ROI，尝试多种可能性、在更大范围寻找最优解，追求卓越、不仅做了更要做好。
bytedance-onboarding,字节跳动入职指南,6,进阶,依据官网可确认的发展历程，字节跳动公司注册成立于哪一年？,2012 年,2013 年,2016 年,2017 年,A,2012 年,官网大事记：2012 年公司注册成立；2013 年今日头条获 B 轮融资；2017 年 TikTok、Vigo Video 上线；2019 年巨量引擎发布、飞书上线。
bytedance-onboarding,字节跳动入职指南,7,进阶,任务要求两周完成，但你评估需要四周，应如何处理？,直接接受两周期限并加班硬扛,私下砍掉部分范围不告知任何人,拆解工作量说明估时依据，给出缩小范围、调整优先级或延期等选项，由负责人决策并同步相关方,直接拒绝任务并告知无法完成,C,拆解工作量说明估时依据，给出缩小范围、调整优先级或延期等选项，由负责人决策并同步相关方,参考要点：拆解工作量并说明估时依据；明确依赖和风险；给出缩小范围、调整优先级、增加资源或延期等选项；说明不同方案的收益和风险；由负责人决策并将结论同步相关方。
bytedance-onboarding,字节跳动入职指南,8,进阶,一个完整提问（BGTA）应包含哪四部分？,背景、目标、已尝试、请求,背景、方案、结论、风险,标题、正文、附件、截止时间,现状、问题、建议、责任人,A,背景、目标、已尝试、请求,BGTA = Background 背景 / Goal 目标 / Tried 已尝试 / Ask 请求；不要只发“在吗”“这个怎么弄”或没有上下文的截图。
bytedance-onboarding,字节跳动入职指南,9,进阶,复盘与追责的主要区别是？,复盘只奖励、追责只惩罚,复盘以找出责任人追责为目的,复盘聚焦原定目标与实际结果的差异及改进，不是追责,两者没有任何区别,C,复盘聚焦原定目标与实际结果的差异及改进，不是追责,推荐五步复盘：原定目标→实际结果→差异原因→保留/停止/开始→下一步行动（谁、何时完成）；对应字节范的“坦诚清晰”与“求真务实”，不隐瞒问题、不以主观判断代替事实。
bytedance-onboarding,字节跳动入职指南,10,硬核,为什么研发人员需要理解产品价值链？,为了参与销售和商务谈判,为了写出更长的代码,技术复杂度越高越代表业务价值,清楚自己的上下游与工作改善的业务指标，避免把技术复杂度当成业务价值,D,清楚自己的上下游与工作改善的业务指标，避免把技术复杂度当成业务价值,新人应能回答：上游是谁、下游是谁、工作改善哪个指标、不做有什么影响、是否有成本更低的办法；研发只是价值链一环，要避免把技术复杂度直接当成业务价值。
