题库ID,题库名称,题号,难度,题干,选项A,选项B,选项C,选项D,正确答案,答案内容,解析
doubao-work,豆包工作上手指南,1,入门,豆包工作伙伴的前身是哪个产品？,飞书 aily,飞书妙记,飞书文档,扣子,A,飞书 aily,飞书 aily 已更名并入豆包体系。下一步：打开豆包电脑版侧边栏「技能·连接器·伙伴」，熟悉三件套入口。
doubao-work,豆包工作上手指南,2,入门,「技能」在三件套中负责什么？,打通外部系统数据,扮演专业 AI 角色,沉淀可复用的流程,管理本地算力,C,沉淀可复用的流程,技能管「怎么干」，把周报格式等流程固化复用。下一步：把一段常用提示词存成技能并手动调用一次。
doubao-work,豆包工作上手指南,3,入门,「连接器」在三件套中解决什么？,自动拆解复杂任务,打通飞书等外部系统,生成会议纪要,维护伙伴人设,B,打通飞书等外部系统,连接器管「数据从哪来」，授权后可读写飞书、钉钉。下一步：在面板新建一个自定义连接器并保存成功。
doubao-work,豆包工作上手指南,4,入门,新建自定义连接器，传输类型选什么？,WebSocket,stdio,gRPC,HTTP,D,HTTP,面板对应 MCP 的 Streamable HTTP，选 HTTP。下一步：本地起 MCP server，把服务器 URL 填进去保存。
doubao-work,豆包工作上手指南,5,进阶,Header 值里 Bearer 和 Token 之间？,隔一个空格,直接相连,用冒号分隔,用逗号分隔,A,隔一个空格,正确格式是「Bearer + 空格 + Token」，Header 名为 Authorization。下一步：故意去掉空格看报错，再改回来。
doubao-work,豆包工作上手指南,6,进阶,SKILL.md 的 description 主要作用是？,记录版本历史,声明收费价格,供 AI 检索匹配,存放用户密钥,C,供 AI 检索匹配,description 的关键词决定 AI 能否自动命中。下一步：在 description 补「接龙、统计」等真实说法再测。
doubao-work,豆包工作上手指南,7,进阶,想在指令里强制指定技能，输入框敲？,#技能名,/ 加技能名,@技能名,$技能名,B,/ 加技能名,「/」手动指定与 AI 自动匹配都有效。下一步：同一句话分别带 / 和不带各跑一次，观察行为差异。
doubao-work,豆包工作上手指南,8,进阶,一个工作伙伴通常绑定哪三样？,模型、算力、价格,头像、昵称、签名,群聊、文档、日程,人设、技能、连接器,D,人设、技能、连接器,人设定职责，技能给方法，连接器通数据。下一步：新建「收集统计专员」，勾选卡片技能与连接器。
doubao-work,豆包工作上手指南,9,进阶,组队（Teams）的官方机制是？,投票表决出结果,随机分派任务,自动拆解子任务接力,轮流当管理员,C,自动拆解子任务接力,复杂任务自动拆解，上一棒产出自动交下一棒。下一步：让名单伙伴生成名单，再交建卡伙伴发起报名。
doubao-work,豆包工作上手指南,10,硬核,推荐的上手练习顺序是？,先单工具再伙伴组队,先组队再补技能,先改源码再配置,只看文档不动手,A,先单工具再伙伴组队,先跑通单个工具，再装技能、建伙伴、最后组队。下一步：今天只用连接器跑通一次发起投票。
doubao-work,豆包工作上手指南,11,硬核,自定义连接器的生效范围是？,全公司共享,同账号全设备同步,所在飞书群共享,仅配置它的本机,D,仅配置它的本机,官方限制：自定义连接器仅在这台电脑生效，换设备要重配。下一步：把 URL 与 Token 记入密码管理器。
doubao-work,豆包工作上手指南,12,硬核,查报名进度必须提供哪个参数？,群名称,session_id,投票标题,伙伴昵称,B,session_id,创建卡片会返回 session_id，查进度靠 get_session_status。下一步：把 session_id 记进回复再问进度。
doubao-work,豆包工作上手指南,13,硬核,面板拒绝保存 127.0.0.1 地址时怎么办？,改用 443 端口,重启路由器重试,改 stdio 或隧道转发,放弃连接器方案,C,改 stdio 或隧道转发,可换 stdio 本地命令模式，或用 cloudflared 临时转 https。下一步：两条路各试一遍并记录差异。
doubao-work,豆包工作上手指南,14,硬核,插件为何不直接发卡，要走主 BOT？,主 BOT 速度更快,官方禁止插件发卡,插件没有网络权限,卡片回调只到主 BOT,D,卡片回调只到主 BOT,卡片点击回调只送到持有飞书长连接的 BOT。下一步：画出「插件→控制 API→BOT」链路并讲给同事听。
