题库ID,题库名称,题号,难度,题干,选项A,选项B,选项C,选项D,正确答案,答案内容,解析
feishu-advanced,飞书进阶玩家,1,入门,多维表格中，想把记录按状态分组、拖拽卡片推进任务，应用哪种视图？,表格视图,画册视图,看板视图,日历视图,C,看板视图,看板视图将每行记录变为卡片，按所选字段分组排列，拖拽卡片即可更新分组取值，适合任务流转；甘特视图则侧重时间线与里程碑跟进。
feishu-advanced,飞书进阶玩家,2,入门,下列哪一项不是多维表格的字段类型？,单向关联,查找引用,评分,思维笔记,D,思维笔记,多维表格字段涵盖单选、多选、人员、日期、附件、单向关联、查找引用、评分等；思维笔记是独立的云文档类型，需在云文档首页新建。
feishu-advanced,飞书进阶玩家,3,入门,想让“新增记录时自动发飞书消息给负责人”，应配置什么？,自动化流程,仪表盘推送,表单视图,分组筛选,A,自动化流程,打开多维表格右上角「自动化」，设置触发条件（如添加新记录时）与执行操作（如发送飞书消息），保存后流程自动运行，无需人工干预。
feishu-advanced,飞书进阶玩家,4,入门,多维表格的仪表盘主要用来做什么？,搭建数据可视化看板,多人实时语音会议,在线协作文档编辑,企业组织架构管理,A,搭建数据可视化看板,仪表盘可把柱状图、条形图、折线图等图表组合成数据看板并实时更新，还支持定时自动发送到群组，帮助团队定期掌握业务指标。
feishu-advanced,飞书进阶玩家,5,进阶,只想把外部系统的告警推送到某个群，最轻量的做法是？,创建自建应用并发布,群机器人添加自定义机器人,申请开通服务台,配置飞书项目插件,B,群机器人添加自定义机器人,群设置 > 群机器人 > 添加机器人 > 自定义机器人，即可生成 webhook 地址，向该地址发请求便能推送消息到群内，无需管理员审核。
feishu-advanced,飞书进阶玩家,6,进阶,自定义机器人支持的安全设置是哪一组？,关键词/IP白名单/签名校验,指纹/人脸/动态口令,仅支持登录密码保护,设备锁/蓝牙/NFC,A,关键词/IP白名单/签名校验,自定义机器人提供自定义关键词、IP 白名单、签名校验（安全密钥）三种安全设置，可叠加启用，防止 webhook 地址泄露后被恶意调用。
feishu-advanced,飞书进阶玩家,7,进阶,关于飞书自定义机器人，下列说法正确的是？,自定义机器人可发起单聊,应用机器人仅能推送告警,自定义机器人仅限本群使用,应用机器人无需配置开发后台,C,自定义机器人仅限本群使用,应用机器人在开放平台开发者后台创建，可调用开放接口并支持单聊与群聊；自定义机器人只在群内创建，仅能向所在群单向推送消息。
feishu-advanced,飞书进阶玩家,8,进阶,想把已有的云文档沉淀进知识库，正确做法是？,复制全文重新粘贴,截图上传到知识库,导出 PDF 再上传,迁入已有云文档,D,迁入已有云文档,在云文档首页左侧进入「知识库」，打开目标知识库后添加页面时选择「迁入已有云文档」，即可把现有文档直接移动进知识库目录。
feishu-advanced,飞书进阶玩家,9,进阶,企业要上线一个新的报销审批，应由谁在何处创建？,管理员于审批管理后台创建,任何成员在群聊里发起,在多维表格里画流程图,找飞书客服代建,A,管理员于审批管理后台创建,管理员进入审批管理后台，可选择预置模板或自定义创建审批，并按步骤设计表单与审批流程；发布后企业成员即可在飞书中提交使用。
feishu-advanced,飞书进阶玩家,10,硬核,飞书 OKR 中的 KR 指的是？,目标本身,关键结果,绩效评分,知识回顾,B,关键结果,KR 即关键结果，由 O（目标）分解而来；管理员在飞书 OKR 应用中配置周期与对齐规则，成员按周期填写、对齐与复盘。
feishu-advanced,飞书进阶玩家,11,硬核,飞书项目主要面向哪类工作场景？,视频剪辑与渲染,企业工资代发,产研工作项管理,个人网盘备份,C,产研工作项管理,飞书项目面向产研团队的项目管理，以工作项为核心，支持表格、看板、甘特图等视图，并可自定义流转规则与自动化消息提醒。
feishu-advanced,飞书进阶玩家,12,硬核,想让组织外客户通过链接只读一篇文档，链接分享应设为？,组织内获得链接可阅读,仅协作者可以访问,互联网上获得链接可编辑,互联网上获得链接可阅读,D,互联网上获得链接可阅读,在文档右上角「分享」中设置链接分享范围：组织外阅读需选「互联网上获得链接的人可阅读」；外链任何人均可打开，请勿轻易开放编辑。
feishu-advanced,飞书进阶玩家,13,硬核,管理员想给云文档配置防泄密水印并支持事后追溯，应去哪设置？,头像-设置-通用,管理后台安全-数据保护,文档右上角分享面板,群设置-群管理,B,管理后台安全-数据保护,管理员进入管理后台 > 安全 > 数据保护 > 水印设置，可按部门、成员配置明水印与透明水印；内容支持姓名、邮箱前缀、手机号末 4 位等。
feishu-advanced,飞书进阶玩家,14,硬核,把本地录音文件转成可搜索的文字纪要，正确入口是？,云文档新建-导入录音,视频会议-妙记上传,任务中心-添加附件,邮箱-语音转文字,B,视频会议-妙记上传,左侧导航进入「视频会议 > 妙记」，在妙记主页上传本地音视频文件即可自动转写；生成后可搜索文字记录，并经 ··· > 导出文字记录导出。
