题库ID,题库名称,题号,难度,题干,选项A,选项B,选项C,选项D,正确答案,答案内容,解析
bytedance-culture,字节范与企业文化,1,入门,字节跳动官网现行版「字节范」共几条？,4 条,5 条,6 条,8 条,C,6 条,官网现行版字节范共六条：共同成长、始终创业、多元兼容、坦诚清晰、求真务实、敢为极致；2023 年前旧版为追求极致、务实敢为、开放谦逊等。
bytedance-culture,字节范与企业文化,2,入门,下列哪一项不属于现行版字节范六条？,共同成长,始终创业,追求极致,敢为极致,C,追求极致,「追求极致」是 2023 年前旧版名称，现行版为「敢为极致」；旧版「追求极致」对应现行版的敢为极致（高标准、更大范围找最优解）与共同成长（持续学习）。
bytedance-culture,字节范与企业文化,3,入门,「表达真实想法，不怕暴露问题，反对“向上管理”」属于哪项字节范？,敢为极致,坦诚清晰,始终创业,求真务实,B,坦诚清晰,坦诚清晰要求表达真实想法、不怕暴露问题、反对“向上管理”，并准确、简洁、直接地沟通，就事论事、避免主观臆测和情绪化表达。
bytedance-culture,字节范与企业文化,4,入门,「面对短期波动有耐心、有韧性，共同解决问题」属于哪项字节范？,共同成长,敢为极致,多元兼容,坦诚清晰,A,共同成长,共同成长要求相信并认可使命愿景、基于使命愿景自驱，面对短期波动有耐心、有韧性、共同解决问题，持续学习、不设边界。
bytedance-culture,字节范与企业文化,5,进阶,「直接体验，深入事实，拿一手数据或信息」属于哪项字节范？,始终创业,求真务实,敢为极致,坦诚清晰,B,求真务实,求真务实要求独立思考、刨根问底，直接体验、深入事实、拿一手数据或信息，不自嗨、注重实际效果。
bytedance-culture,字节范与企业文化,6,进阶,「善意假设，默认开放信任」属于哪项字节范？,多元兼容,共同成长,敢为极致,求真务实,A,多元兼容,多元兼容欣赏个体多样性、聚焦人的核心特质，具备全球视角，并强调“善意假设，默认开放信任”，有效合作。
bytedance-culture,字节范与企业文化,7,进阶,「对外敏锐谦逊，避免自满或优越感」在现行字节范中归入哪一条？,共同成长,多元兼容,始终创业,坦诚清晰,C,始终创业,始终创业条目原文包含“对外敏锐谦逊，避免自满或优越感”；这题专门检验是否读的是现行版字节范。
bytedance-culture,字节范与企业文化,8,进阶,记忆锚点中，「两个成长/创业」对应哪两项字节范？,共同成长、始终创业,多元兼容、坦诚清晰,求真务实、敢为极致,共同成长、多元兼容,A,共同成长、始终创业,记忆锚点：两个“成长/创业”（共同成长、始终创业）+ 两个“兼容/清晰”（多元兼容、坦诚清晰）+ 两个“务实/极致”（求真务实、敢为极致）。
bytedance-culture,字节范与企业文化,9,进阶,旧版字节范「追求极致」在现行版中主要对应？,敢为极致与共同成长,求真务实与敢为极致,多元兼容与始终创业,仅敢为极致一条,A,敢为极致与共同成长,旧版「追求极致」→ 敢为极致（高标准、更大范围找最优解）+ 共同成长（持续学习）；旧版「务实敢为」则拆为求真务实与敢为极致。
bytedance-culture,字节范与企业文化,10,硬核,旧版「开放谦逊」不再单列后，「敏锐谦逊、避免优越感」并入哪一条？,多元兼容,坦诚清晰,始终创业,共同成长,C,始终创业,开放谦逊不再单列：“敏锐谦逊、避免优越感”并入始终创业，“善意假设、默认信任”并入多元兼容；老文档和老同学口中仍会出现旧名。
bytedance-culture,字节范与企业文化,11,硬核,下列全部属于现行版字节范六条的是？,共同成长、始终创业、多元兼容、坦诚清晰、求真务实、敢为极致,追求极致、务实敢为、开放谦逊、坦诚清晰、始终创业、多元兼容,客户第一、团队合作、拥抱变化、诚信正直、追求极致、开放谦逊,共同成长、客户第一、求真务实、坦诚清晰、敢为极致、开放谦逊,A,共同成长、始终创业、多元兼容、坦诚清晰、求真务实、敢为极致,现行版按官网顺序为共同成长、始终创业、多元兼容、坦诚清晰、求真务实、敢为极致；B 是旧版名称集合，C/D 混入了“客户第一”等非字节范条目（“追求极致”常作为干扰项）。
bytedance-culture,字节范与企业文化,12,硬核,关于旧版→现行版字节范对照，下列说法正确的是？,「务实敢为」原样保留,「务实敢为」被拆为「求真务实」与「敢为极致」,「坦诚清晰」被整体删除,「开放谦逊」原样保留,B,「务实敢为」被拆为「求真务实」与「敢为极致」,务实敢为拆为求真务实（一手数据、刨根问底、不自嗨）和敢为极致（明智冒险、注重 ROI）；坦诚清晰/始终创业/多元兼容名称保留但要点微调。
bytedance-culture,字节范与企业文化,13,硬核,依据官网大事记，巨量引擎发布的时间是？,2019 年 1 月,2019 年 3 月,2018 年 12 月,2020 年 1 月,A,2019 年 1 月,官网大事记显示巨量引擎于 2019 年 1 月发布（早期资料误写 2019.03），同月多闪发布；飞书于 2019 年 8 月上线。
bytedance-culture,字节范与企业文化,14,硬核,字节「飞阅会」的正确流程是？,主持人逐页口头讲解后提问表决,全员静默读文档并留评论，再按评论逐条讨论分歧点，结论与待办写回文档,先集体投票再分配阅读章节,轮流朗读文档后会后补发纪要,B,全员静默读文档并留评论，再按评论逐条讨论分歧点，结论与待办写回文档,飞阅会三阶段：默读（5–15 分钟，边读边留评论）→ 评论讨论（只讨论有分歧、需决策的点）→ 收尾（结论/待办/Owner/DDL 写回文档）；前提是文档提前写好。
