题库ID,题库名称,题号,难度,题干,选项A,选项B,选项C,选项D,正确答案,答案内容,解析
agent-arch,Agent 架构通识,1,入门,LLM 与 Agent 最核心的区别是？,参数规模不同,Agent 能调工具行动,训练语料不同,计费方式不同,B,Agent 能调工具行动,Agent = LLM + 工具 + 决策循环，能行动并观察结果。下一步：给纯问答脚本加一个搜索工具体验差异。
agent-arch,Agent 架构通识,2,入门,输入即触发动作、无长期规划的 Agent 是？,规划式 Agent,自主式 Agent,编排式 Agent,反应式 Agent,D,反应式 Agent,反应式只对当前输入反应，不维护计划。下一步：列一个你用过的反应式 Agent，写出它的触发条件。
agent-arch,Agent 架构通识,3,入门,按自主性从低到高排序正确的是？,反应式→规划式→自主式,自主式→规划式→反应式,规划式→反应式→自主式,反应式→自主式→规划式,A,反应式→规划式→自主式,自主性越高，人工介入越少、自决范围越大。下一步：标注手头 Agent 处于哪一级并写出判断依据。
agent-arch,Agent 架构通识,4,入门,编排者-执行者模式中，编排者负责？,亲自执行全部任务,保管全部用户数据,拆解任务并分派协调,训练底层大模型,C,拆解任务并分派协调,编排者拆任务、派活、汇总，执行者专注做单件事。下一步：画一张你系统的编排者与执行者分工图。
agent-arch,Agent 架构通识,5,进阶,Skill（技能包）的本质是？,一段系统提示词,可复用的能力封装,一种新的模型权重,专用推理芯片,B,可复用的能力封装,Skill 封装流程、工具约定与示例，可跨任务复用。下一步：把重复三次以上的提示词沉淀成 SKILL.md。
agent-arch,Agent 架构通识,6,进阶,模型自动选中某技能的主要依据是？,描述里的关键词,技能文件夹大小,安装时间先后,开发者评分高低,A,描述里的关键词,SKILL.md 的 description 是检索入口，关键词越准越易命中。下一步：给技能补三个用户真实说法的关键词。
agent-arch,Agent 架构通识,7,进阶,Function Calling 的核心作用是？,提升模型参数规模,压缩上下文窗口,减少训练成本,结构化调用外部工具,D,结构化调用外部工具,模型输出函数名与参数，宿主执行后回填结果。下一步：手写一个 tool schema，跑通一轮完整调用。
agent-arch,Agent 架构通识,8,进阶,MCP 协议主要解决什么问题？,模型间互相聊天,显卡驱动兼容,工具接入标准化,语料版权授权,C,工具接入标准化,MCP 把工具接入统一成标准协议，Agent 即插即用。下一步：用 MCP Inspector 看一个 server 的工具列表。
agent-arch,Agent 架构通识,9,进阶,上下文窗口超限的直接后果是？,模型自动升级,早期内容被截断遗忘,显卡过热降频,输出自动换语言,B,早期内容被截断遗忘,窗口是有限预算，超出要靠裁剪、摘要或检索注入。下一步：给长对话加分段摘要，观察遗忘是否缓解。
agent-arch,Agent 架构通识,10,硬核,多 Agent 接力时上下文传递的关键是？,共用同一个账号,传递原始屏幕截图,共享同一块显存,结构化交接产物,D,结构化交接产物,接力靠结构化产物而非整段闲聊记录。下一步：定义交接模板，字段含输入、产出与未决项。
agent-arch,Agent 架构通识,11,硬核,豆包工作「组队 Teams」是哪类落地？,多 Agent 编排协作,单 Agent 自问自答,纯人工工作流,模型蒸馏压缩,A,多 Agent 编排协作,Teams 自动拆解任务、并行接力，是编排-执行模式的产品化。下一步：组一队两个伙伴跑真实报名统计。
agent-arch,Agent 架构通识,12,硬核,单 Agent 与多 Agent 的选型原则是？,永远优先多 Agent,哪个贵选哪个,任务简单先单 Agent,按模型品牌决定,C,任务简单先单 Agent,多 Agent 增加协调与交接成本，能串行解决就别拆。下一步：把一个多 Agent 流程降级为单 Agent 对比耗时。
agent-arch,Agent 架构通识,13,硬核,检索类技能与生成类技能的分工是？,两者完全可互换,生成类只能写代码,检索类只做翻译,检索取数，生成加工,D,检索取数，生成加工,检索类把资料取回，生成类加工成稿。下一步：把「写报告」拆成先检索后生成的两个技能跑一遍。
agent-arch,Agent 架构通识,14,硬核,一个最小 Agent 循环包含哪几步？,训练-蒸馏-部署,感知-决策-行动-观察,标注-训练-评测,采集-清洗-入库,B,感知-决策-行动-观察,行动后观察结果再进入下一轮决策，直到任务收敛。下一步：用伪代码写一个最多循环十次的 ReAct 循环。
