题库ID,题库名称,题号,难度,题干,选项A,选项B,选项C,选项D,正确答案,答案内容,解析
tencent,腾讯帝国简史,1,入门,腾讯是哪一年成立的？,1996 年,2000 年,1998 年,2002 年,C,1998 年,1998 年 11 月 11 日，马化腾、张志东等五人在深圳注册成立腾讯，早期主业是网上寻呼系统。
tencent,腾讯帝国简史,2,入门,腾讯五位创始人中，出任首任 CEO 的是？,马化腾,张志东,曾李青,许晨晔,A,马化腾,创始五人分工明确：马化腾任 CEO，张志东任 CTO，曾李青任 COO，许晨晔任 CIO，陈一丹任 CAO。
tencent,腾讯帝国简史,3,入门,腾讯的第一款即时通讯软件叫什么？,ICQ,MSN,OICQ,网易泡泡,C,OICQ,1999 年 2 月 10 日 OICQ 首个版本发布，名字意为「开放的 ICQ」，它就是后来 QQ 的前身。
tencent,腾讯帝国简史,4,入门,腾讯在哪一年登陆港交所主板？,2003 年,2005 年,2007 年,2004 年,D,2004 年,2004 年 6 月 16 日腾讯在香港主板挂牌，发行价 3.70 港元，是首家在港股主板上市的中国互联网企业。
tencent,腾讯帝国简史,5,进阶,OICQ 改名 QQ 的直接原因是？,商标被奇瑞抢注,美国在线发来律师函,域名被他人抢注,用户投票选新名,B,美国在线发来律师函,1999 年 10 月 ICQ 母公司美国在线发律师函指 OICQ 侵权，2000 年 11 月腾讯推出 QQ2000 完成更名。
tencent,腾讯帝国简史,6,进阶,微信是哪一年上线的？,2010 年,2012 年,2011 年,2013 年,C,2011 年,2011 年 1 月 21 日微信 1.0 上线，由张小龙带领的腾讯广州研发中心打造，从立项到上线只用了约两个月。
tencent,腾讯帝国简史,7,进阶,微信红包首次登上央视春晚是哪一年？,2014 年,2016 年,2017 年,2015 年,D,2015 年,2015 年除夕，微信「摇一摇」成为央视春晚独家互动合作方，全民摇红包直接带火了微信支付绑卡量。
tencent,腾讯帝国简史,8,进阶,《王者荣耀》是哪一年上线的？,2014 年,2016 年,2017 年,2015 年,D,2015 年,王者荣耀 2015 年 11 月公测上线，一年多注册用户破 2 亿，后来长期占据全球手游收入榜前列。
tencent,腾讯帝国简史,9,进阶,微信视频号开启内测的时间是？,2019 年 1 月,2020 年 6 月,2020 年 1 月,2021 年 1 月,C,2020 年 1 月,视频号 2020 年 1 月开启内测，首批仅广州、成都、西安、沈阳四城可见入口，当年 6 月用户即破 2 亿。
tencent,腾讯帝国简史,10,硬核,微信小程序正式上线是哪一年？,2016 年,2017 年,2018 年,2015 年,B,2017 年,2017 年 1 月 9 日小程序上线，这天恰是 iPhone 发布十周年，张小龙发朋友圈「2007.1.9」致敬乔布斯。
tencent,腾讯帝国简史,11,硬核,2018 年「930 变革」新成立的两个事业群是？,CSIG 与 PCG,WXG 与 IEG,CDG 与 TEG,AMS 与 SNG,A,CSIG 与 PCG,2018 年 9 月 30 日腾讯七大事业群重组为六个，新设云与智慧产业（CSIG）与平台与内容（PCG），To B 业务首次独立成军。
tencent,腾讯帝国简史,12,硬核,腾讯 2016 年以 86 亿美元收购的游戏公司是？,Riot Games,Supercell,Epic Games,育碧,B,Supercell,2016 年 6 月 21 日腾讯宣布 86 亿美元收购芬兰厂商 Supercell 84.3% 股权，创下当年全球游戏行业最大收购案。
tencent,腾讯帝国简史,13,硬核,腾讯 2014 年战略入股京东，拿下了约多少股权？,15%,5%,30%,51%,A,15%,2014 年 3 月腾讯以约 2.1 亿美元现金加拍拍、易迅等电商资产入股京东 15%，成为其第二大股东。
tencent,腾讯帝国简史,14,硬核,腾讯混元大模型发布于哪一年？,2022 年,2024 年,2023 年,2025 年,C,2023 年,2023 年 9 月 7 日混元在腾讯全球数字生态大会亮相并通过腾讯云开放，参数超千亿，预训练语料超 2 万亿 tokens。
