题库ID,题库名称,题号,难度,题干,选项A,选项B,选项C,选项D,正确答案,答案内容,解析
aliyun-ai,阿里云 AI 图谱,1,入门,通义千问的英文代号是？,Qwen,Ernie,Hunyuan,GLM,A,Qwen,Qwen 是阿里自研大模型系列，开源与商业版并行。下一步：在百炼控制台找到 qwen-plus 发起一次调用。
aliyun-ai,阿里云 AI 图谱,2,入门,定位「模型即服务」的开源社区是？,阿里云百炼,通义千问,ModelScope 魔搭,通义灵码,C,ModelScope 魔搭,魔搭社区汇聚开源模型，可在线体验与下载。下一步：注册魔搭，挑一个模型跑一次在线推理。
aliyun-ai,阿里云 AI 图谱,3,入门,阿里云百炼的核心定位是？,显卡硬件销售,大模型服务与应用开发,视频会议软件,代码托管平台,B,大模型服务与应用开发,百炼提供模型调用、微调与应用开发全链路。下一步：开通百炼领取免费额度，跑通首个 API 调用。
aliyun-ai,阿里云 AI 图谱,4,入门,调用百炼模型主要通过哪个接口？,SSH 协议,FTP 协议,SMTP 协议,DashScope 接口,D,DashScope 接口,DashScope 兼容 OpenAI 格式，改 Base URL 与 Key 即可迁移。下一步：把一段 OpenAI 代码改指到百炼。
aliyun-ai,阿里云 AI 图谱,5,进阶,通义听悟最擅长什么？,音视频转写与纪要,生成三维模型,训练四足机器人,区块链存证,A,音视频转写与纪要,听悟做语音转文字、说话人区分与会议纪要。下一步：上传一段会议录音，导出纪要并校对专有名词。
aliyun-ai,阿里云 AI 图谱,6,进阶,通义万相是哪类模型？,语音识别服务,数据库产品,图像视频生成模型,网络加速服务,C,图像视频生成模型,万相覆盖文生图、文生视频等生成能力，多款已开源。下一步：在万相官网生成一张图并对比提示词。
aliyun-ai,阿里云 AI 图谱,7,进阶,通义灵码面向的场景是？,视频剪辑,AI 编程助手,仓储物流,智能客服,B,AI 编程助手,灵码是 IDE 里的代码补全与生成助手，个人版免费。下一步：装到 VS Code，让它生成一个单元测试。
aliyun-ai,阿里云 AI 图谱,8,进阶,PAI 平台主要服务哪类用户？,普通聊天用户,电商客服专员,平面设计师,算法工程师训推模型,D,算法工程师训推模型,PAI 覆盖数据标注、训练、部署全链路。下一步：开通 PAI-DSW，用免费资源跑一个示例 Notebook。
aliyun-ai,阿里云 AI 图谱,9,进阶,PAI 里的交互式建模环境叫？,DLC,iTAG,DSW,EAS,C,DSW,DSW 是云端 Notebook 环境，DLC 管分布式训练、EAS 管在线部署。下一步：在 DSW 拉起一个 GPU 实例。
aliyun-ai,阿里云 AI 图谱,10,硬核,把模型部署成在线推理服务用 PAI 的？,EAS,Designer,iTAG,MaxCompute,A,EAS,EAS 负责推理服务的弹性部署与扩缩容。下一步：把一个示例模型部署成 API 并发请求压测。
aliyun-ai,阿里云 AI 图谱,11,硬核,千问商业版的常见分档是？,mini/midi/max,air/pro/ultra,nano/pro/max,turbo/plus/max,D,turbo/plus/max,turbo 快省、plus 均衡、max 旗舰。下一步：用同一提示词分别调三档，对比质量、延迟与费用。
aliyun-ai,阿里云 AI 图谱,12,硬核,想给应用加知识库问答，百炼里怎么做？,只能自己从头开发,用应用编排挂知识库,必须购买物理服务器,改用 FTP 传文档,B,用应用编排挂知识库,百炼应用开发支持知识库检索增强与智能体编排。下一步：上传一份 PDF 建知识库，提问验证召回。
aliyun-ai,阿里云 AI 图谱,13,硬核,百炼上除了通义还能调什么？,仅限通义系列,只支持图像模型,DeepSeek 等第三方,必须先自训练模型,C,DeepSeek 等第三方,百炼是统一接入层，千问之外还有 DeepSeek、GLM 等。下一步：同一份代码切换两个模型做对照实验。
aliyun-ai,阿里云 AI 图谱,14,硬核,百炼、魔搭、PAI 三者的关系是？,三者互相替代,魔搭是百炼子功能,PAI 是百炼的前端,分工不同互为补充,D,分工不同互为补充,魔搭是开源模型社区，百炼管模型服务与应用，PAI 管训练部署。下一步：画一张三者关系图并标注流向。
