题库ID,题库名称,题号,难度,题干,选项A,选项B,选项C,选项D,正确答案,答案内容,解析
feishu-basics,飞书新手上路,1,入门,发出一条消息后，如何确认对方已经看过？,无法查看阅读状态,仅群主可以看到,看消息旁的圆形图标,需对方回复确认,C,看消息旁的圆形图标,发送消息后，消息旁的圆形图标即已读回执：单聊可看对方是否已读，群聊中点击图标可查看已读与未读成员名单，便于跟进触达。
feishu-basics,飞书新手上路,2,入门,想对一条消息快速表态、又不想刷屏，最好用什么？,回复“收到”二字,表情回复,加急提醒对方,转发给自己存档,B,表情回复,悬停消息后点击表情图标即可快捷表态，表情回复汇聚展示在该消息下方、全员可见，可避免“收到”类回复刷屏；重复点击同一表情可撤回。
feishu-basics,飞书新手上路,3,入门,群里有多条重要消息怕淹没，应该用哪个功能集中收藏？,Pin,引用回复,加急,合并转发,A,Pin,悬停消息选择「更多 > Pin」即可收入会话 Pin 列表，全员可见；会话顶部置顶消息仅支持 1 条，多条重要消息请用 Pin。
feishu-basics,飞书新手上路,4,入门,在飞书桌面端新建日程，最直接的入口是？,工作台搜索日程,群聊输入/日程,邮件里直接新建,日历右上角创建日程,D,日历右上角创建日程,桌面端左侧导航栏进入「日历」，点击右上角「创建日程」；也可在日、周视图点选时间段，或在单聊、群组中查看成员忙闲后点击空闲时段创建。
feishu-basics,飞书新手上路,5,进阶,下列哪种方式无法发起飞书视频会议？,视频会议导航发起,群聊中发起,邮箱中发起,日程卡片发起,C,邮箱中发起,飞书会议可从左侧导航「视频会议」、单聊或群聊会话、日程卡片三种方式发起和加入；邮箱不支持发起会议，会前可在预览页调试麦克风与摄像头。
feishu-basics,飞书新手上路,6,进阶,主持人想让新入会的成员麦克风默认关闭，应开启什么？,入会时自动静音,锁定会议,开启等候室,关闭聊天区,A,入会时自动静音,会中打开参会人列表，点击下方「更多 > 入会时自动静音」并打开开关，此后新入会的成员麦克风默认为关闭状态，适合大型会议维持秩序。
feishu-basics,飞书新手上路,7,进阶,要给自己或同事派一个待办，飞书任务中心从哪里进入？,云文档首页,左侧导航栏任务,日历视图内,管理后台,B,左侧导航栏任务,从左侧导航栏或顶部搜索找到「任务」进入任务中心，点击 + 新建任务输入标题并回车即可创建，进入详情页还可设置开始时间、截止时间与提醒。
feishu-basics,飞书新手上路,8,进阶,任务中只能查看进展、无法完成或编辑任务的角色是？,负责人,创建人,协作者,关注人,D,关注人,任务创建人默认为负责人，负责人可完成、编辑任务；关注人仅能查看任务进展，无法进行完成或编辑操作，适合同步给只需知情的成员。
feishu-basics,飞书新手上路,9,进阶,想新建一篇飞书在线文档，常规入口是？,云文档首页新建,群公告里直接写,视频会议中新建,任务中心新建,A,云文档首页新建,从左侧导航进入「云文档」首页，点击新建即可创建文档、表格、幻灯片、多维表格、思维笔记等；也可以在知识库或具体文件夹中新建。
feishu-basics,飞书新手上路,10,硬核,想针对文档中的某一句话提意见，应该用哪种评论？,全文评论,划词评论,修改原文并署名,发群里口头同步,B,划词评论,选中目标文字，在悬浮工具栏点击「评论」即可发表划词评论，评论与所选内容锚定；对文档整体的建议可滑到页面底部发表全文评论。
feishu-basics,飞书新手上路,11,硬核,未修改设置时，飞书新建日程的默认时长是多久？,15 分钟,60 分钟,30 分钟,90 分钟,C,30 分钟,新建日程默认时长为 30 分钟，可在「头像 > 设置 > 日历」中修改，可选 15 至 120 分钟共六档，新建时按此自动带出结束时间。
feishu-basics,飞书新手上路,12,硬核,想统一调整今后新日程的默认提醒时间，应该去哪设置？,头像-设置-日历,逐个日程修改,管理后台配置,无法统一调整,A,头像-设置-日历,点击头像 > 设置 > 日历，可分别调整非全天与全天日程的默认提醒时间；全天日程可选当天或前一天的 8:00、9:00、10:00。
feishu-basics,飞书新手上路,13,硬核,未修改设置时，飞书任务默认在截止前多久提醒你？,截止前 10 分钟,截止前 1 小时,截止前 1 天,截止前 30 分钟,D,截止前 30 分钟,任务默认在截止前 30 分钟提醒，可在详情页「提醒时间」中调整；每日提醒开启后，任务助手每天上午 10 点左右汇总提醒逾期与临期任务。
feishu-basics,飞书新手上路,14,硬核,误删了文档里的重要内容，如何找回之前的版本？,撤销键逐步回退,联系飞书客服,··· 菜单历史记录,无法找回,C,··· 菜单历史记录,点击文档右上角 ··· > 历史记录，可查看编辑记录并还原到任意历史版本；重要节点可手动保存版本，版本链接独立于文档链接，可单独分享。
