题库ID,题库名称,题号,难度,题干,选项A,选项B,选项C,选项D,正确答案,答案内容,解析
bytedance,字节跳动编年史,1,入门,字节跳动是哪一年成立的？,2010 年,2012 年,2014 年,2009 年,B,2012 年,2012 年 3 月，张一鸣在北京知春路的一间民宅创立字节跳动，这是他的第五次创业。
bytedance,字节跳动编年史,2,入门,字节跳动的创始人是谁？,宿华,黄峥,张一鸣,王兴,C,张一鸣,张一鸣 1983 年生于福建龙岩，2005 年毕业于南开大学软件工程专业，2012 年创立字节跳动。
bytedance,字节跳动编年史,3,入门,字节跳动旗下第一个广为人知的产品是？,抖音,西瓜视频,懂车帝,今日头条,D,今日头条,今日头条 2012 年 8 月上线，靠个性化推荐引擎 90 天收获 1000 万用户，比抖音早了四年。
bytedance,字节跳动编年史,4,入门,抖音是哪一年在国内上线的？,2015 年,2017 年,2016 年,2018 年,C,2016 年,2016 年 9 月抖音上线，最初名叫 A.me，同年 12 月才更名为「抖音短视频」。
bytedance,字节跳动编年史,5,进阶,抖音海外版 TikTok 是哪一年推向海外的？,2016 年,2017 年,2018 年,2019 年,B,2017 年,2017 年字节跳动将抖音国际版 TikTok 推向海外，同年 11 月收购 Musical.ly 为出海铺路。
bytedance,字节跳动编年史,6,进阶,2017 年字节跳动以约 10 亿美元收购的平台是？,Musical.ly,Flipagram,Vine,Likee,A,Musical.ly,2017 年 11 月 10 日字节跳动全资收购 Musical.ly，后者当时全球注册用户约 2.4 亿。
bytedance,字节跳动编年史,7,进阶,Musical.ly 与 TikTok 正式合并是在哪一年？,2017 年,2019 年,2018 年,2020 年,C,2018 年,2018 年 8 月 2 日双方宣布合并，超 1 亿月活用户整体迁移，新平台沿用 TikTok 名称并更换 Logo。
bytedance,字节跳动编年史,8,进阶,飞书的海外版叫什么名字？,Lark,Slack,Teams,Zoom,A,Lark,海外版 Lark 2019 年 4 月率先在新加坡等地上线，同年 9 月国内版以「飞书」之名开放注册。
bytedance,字节跳动编年史,9,进阶,飞书宣布向全国企业免费开放是在哪一年？,2019 年,2021 年,2022 年,2020 年,D,2020 年,2020 年 2 月 24 日，疫情期间飞书宣布向全国所有企业和组织免费开放，全面进入国内市场。
bytedance,字节跳动编年史,10,硬核,字节跳动的云服务平台「火山引擎」哪一年上线？,2018 年,2020 年,2021 年,2022 年,B,2020 年,火山引擎 2020 年对外上线，把字节内部验证过的推荐算法、数据中台等能力打包成企业服务输出。
bytedance,字节跳动编年史,11,硬核,张一鸣宣布卸任字节跳动 CEO 的时间是？,2020 年 11 月,2021 年 11 月,2021 年 5 月,2022 年 3 月,C,2021 年 5 月,2021 年 5 月 20 日张一鸣发内部信宣布卸任，称要聚焦远景战略；梁汝波于当年 11 月正式接任。
bytedance,字节跳动编年史,12,硬核,2021 年 11 月重组后，下列哪项不属于六大业务板块？,朝夕光年,今日头条,大力教育,火山引擎,B,今日头条,六大板块为抖音、大力教育、飞书、火山引擎、朝夕光年和 TikTok；今日头条与西瓜视频、搜索、百科一起并入抖音。
bytedance,字节跳动编年史,13,硬核,字节跳动 2021 年收购的沐瞳科技，代表作是？,原神,部落冲突,和平精英,无尽对决,D,无尽对决,2021 年字节以约 40 亿美元收购沐瞳科技，其 MOBA 手游《无尽对决》长期位居东南亚畅销榜前列。
bytedance,字节跳动编年史,14,硬核,字节跳动 2021 年收购的 VR 硬件厂商是？,Oculus,大朋,HTC VIVE,Pico,D,Pico,2021 年字节跳动收购 VR 头显厂商 Pico，据媒体报道交易金额约 90 亿元，押注下一代计算平台。
